Question,Category,Level,Model,Metrics,Exp_A,Exp_B,Exp_C
1,1,Easy,Textbooks,Accuracy,5,5,4
1,1,Easy,Textbooks,Relevancy,5,5,5
1,1,Easy,Textbooks,Completeness,4,5,4
1,1,Easy,Textbooks,Clarity,5,5,5
1,1,Easy,Journals,Accuracy,3,4,3
1,1,Easy,Journals,Relevancy,4,5,5
1,1,Easy,Journals,Completeness,3,4,3
1,1,Easy,Journals,Clarity,4,5,4
1,1,Easy,Guidelines,Accuracy,4,4,5
1,1,Easy,Guidelines,Relevancy,3,3,4
1,1,Easy,Guidelines,Completeness,3,3,4
1,1,Easy,Guidelines,Clarity,4,4,5
2,1,Easy,Textbooks,Accuracy,3,4,3
2,1,Easy,Textbooks,Relevancy,2,3,2
2,1,Easy,Textbooks,Completeness,2,3,2
2,1,Easy,Textbooks,Clarity,4,5,4
2,1,Easy,Journals,Accuracy,2,3,2
2,1,Easy,Journals,Relevancy,3,3,2
2,1,Easy,Journals,Completeness,3,3,2
2,1,Easy,Journals,Clarity,3,4,3
2,1,Easy,Guidelines,Accuracy,5,5,5
2,1,Easy,Guidelines,Relevancy,5,5,5
2,1,Easy,Guidelines,Completeness,4,5,4
2,1,Easy,Guidelines,Clarity,5,5,5
3,1,Easy,Textbooks,Accuracy,5,5,5
3,1,Easy,Textbooks,Relevancy,5,5,5
3,1,Easy,Textbooks,Completeness,4,4,5
3,1,Easy,Textbooks,Clarity,5,5,5
3,1,Easy,Journals,Accuracy,4,5,4
3,1,Easy,Journals,Relevancy,4,5,4
3,1,Easy,Journals,Completeness,4,5,4
3,1,Easy,Journals,Clarity,4,5,4
3,1,Easy,Guidelines,Accuracy,5,5,4
3,1,Easy,Guidelines,Relevancy,5,5,5
3,1,Easy,Guidelines,Completeness,4,4,5
3,1,Easy,Guidelines,Clarity,5,5,5
4,1,Moderate,Textbooks,Accuracy,4,5,5
4,1,Moderate,Textbooks,Relevancy,5,5,5
4,1,Moderate,Textbooks,Completeness,4,4,5
4,1,Moderate,Textbooks,Clarity,5,5,5
4,1,Moderate,Journals,Accuracy,4,5,5
4,1,Moderate,Journals,Relevancy,4,5,4
4,1,Moderate,Journals,Completeness,3,4,3
4,1,Moderate,Journals,Clarity,3,4,4
4,1,Moderate,Guidelines,Accuracy,3,4,4
4,1,Moderate,Guidelines,Relevancy,4,4,4
4,1,Moderate,Guidelines,Completeness,4,4,3
4,1,Moderate,Guidelines,Clarity,3,4,4
5,1,Moderate,Textbooks,Accuracy,5,5,5
5,1,Moderate,Textbooks,Relevancy,5,5,5
5,1,Moderate,Textbooks,Completeness,5,5,5
5,1,Moderate,Textbooks,Clarity,4,5,5
5,1,Moderate,Journals,Accuracy,4,5,5
5,1,Moderate,Journals,Relevancy,4,4,5
5,1,Moderate,Journals,Completeness,3,4,4
5,1,Moderate,Journals,Clarity,3,3,4
5,1,Moderate,Guidelines,Accuracy,4,4,5
5,1,Moderate,Guidelines,Relevancy,4,5,4
5,1,Moderate,Guidelines,Completeness,4,4,3
5,1,Moderate,Guidelines,Clarity,5,5,5
6,1,Moderate,Textbooks,Accuracy,4,5,5
6,1,Moderate,Textbooks,Relevancy,4,5,5
6,1,Moderate,Textbooks,Completeness,5,5,5
6,1,Moderate,Textbooks,Clarity,4,5,5
6,1,Moderate,Journals,Accuracy,4,5,5
6,1,Moderate,Journals,Relevancy,4,5,4
6,1,Moderate,Journals,Completeness,3,3,2
6,1,Moderate,Journals,Clarity,5,5,4
6,1,Moderate,Guidelines,Accuracy,2,3,3
6,1,Moderate,Guidelines,Relevancy,3,4,3
6,1,Moderate,Guidelines,Completeness,2,2,2
6,1,Moderate,Guidelines,Clarity,4,5,4
7,1,Moderate,Textbooks,Accuracy,4,5,5
